
Timestamp,Count,Incomming,Outgoing
2025-10-05 6:00:00,2,2,0
2025-10-05 6:01:00,3,1,0
2025-10-05 6:02:00,5,2,0
2025-10-05 6:03:00,5,0,0
2025-10-05 6:04:00,6,1,0
2025-10-05 6:05:00,8,2,0
2025-10-05 6:06:00,10,2,0
2025-10-05 6:07:00,12,2,0
2025-10-05 6:08:00,14,2,0
2025-10-05 6:09:00,16,2,0
2025-10-05 6:10:00,16,0,0
2025-10-05 6:11:00,17,1,0
2025-10-05 6:12:00,18,1,0
2025-10-05 6:13:00,18,0,0
2025-10-05 6:14:00,19,1,0
2025-10-05 6:15:00,19,0,0
2025-10-05 6:16:00,21,2,0
2025-10-05 6:17:00,23,2,0
2025-10-05 6:18:00,23,0,0
2025-10-05 6:19:00,24,1,0
2025-10-05 6:20:00,26,2,0
2025-10-05 6:21:00,27,1,0
2025-10-05 6:22:00,29,2,0
2025-10-05 6:23:00,30,1,0
2025-10-05 6:24:00,31,1,0
2025-10-05 6:25:00,31,0,0
2025-10-05 6:26:00,32,1,0
2025-10-05 6:27:00,34,2,0
2025-10-05 6:28:00,35,1,0
2025-10-05 6:29:00,35,0,0
2025-10-05 6:30:00,36,1,0
2025-10-05 6:31:00,34,0,2
2025-10-05 6:32:00,34,1,1
2025-10-05 6:33:00,34,2,2
2025-10-05 6:34:00,35,1,0
2025-10-05 6:35:00,36,2,1
2025-10-05 6:36:00,35,1,2
2025-10-05 6:37:00,35,2,2
2025-10-05 6:38:00,33,0,2
2025-10-05 6:39:00,32,1,2
2025-10-05 6:40:00,30,0,2
2025-10-05 6:41:00,30,0,0
2025-10-05 6:42:00,29,0,1
2025-10-05 6:43:00,29,1,1
2025-10-05 6:44:00,31,2,0
2025-10-05 6:45:00,30,0,1
2025-10-05 6:46:00,30,0,0
2025-10-05 6:47:00,30,2,2
2025-10-05 6:48:00,29,1,2
2025-10-05 6:49:00,30,1,0
2025-10-05 6:50:00,31,2,1
2025-10-05 6:51:00,31,2,2
2025-10-05 6:52:00,31,1,1
2025-10-05 6:53:00,30,1,2
2025-10-05 6:54:00,30,1,1
2025-10-05 6:55:00,30,1,1
2025-10-05 6:56:00,32,2,0
2025-10-05 6:57:00,31,0,1
2025-10-05 6:58:00,30,1,2
2025-10-05 6:59:00,29,0,1
2025-10-05 7:00:00,35,6,0
2025-10-05 7:01:00,36,2,1
2025-10-05 7:02:00,43,7,0
2025-10-05 7:03:00,46,4,1
2025-10-05 7:04:00,51,7,2
2025-10-05 7:05:00,51,1,1
2025-10-05 7:06:00,56,7,2
2025-10-05 7:07:00,60,5,1
2025-10-05 7:08:00,65,7,2
2025-10-05 7:09:00,65,0,0
2025-10-05 7:10:00,69,5,1
2025-10-05 7:11:00,74,5,0
2025-10-05 7:12:00,81,7,0
2025-10-05 7:13:00,85,4,0
2025-10-05 7:14:00,87,3,1
2025-10-05 7:15:00,88,3,2
2025-10-05 7:16:00,93,5,0
2025-10-05 7:17:00,97,4,0
2025-10-05 7:18:00,102,7,2
2025-10-05 7:19:00,107,6,1
